geracao,F=0.3_CR=0.3,F=0.3_CR=0.5,F=0.3_CR=0.9,F=0.5_CR=0.3,F=0.5_CR=0.5,F=0.5_CR=0.9,F=0.9_CR=0.3,F=0.9_CR=0.5,F=0.9_CR=0.9
1,124079924002513615847424.0000,285605505964517567234048.0000,53499114189317805703168.0000,509138673108580164435968.0000,464359950696997160222720.0000,18391445767422126063616.0000,424434210368142931132416.0000,350272324650822765903872.0000,417896612207723624267776.0000
11,981637715695375482880.0000,175224051645298475008.0000,30638395080289082671104.0000,486607454150927056896.0000,434329712866548121600.0000,18391445767422126063616.0000,36368912150752049233920.0000,4847328611988153565184.0000,2639260739174191857664.0000
21,3686114748737677312.0000,13850815569387431936.0000,2121165770557638311936.0000,51977608712069505024.0000,137226023556443930624.0000,18391445767422126063616.0000,1290978518549249916928.0000,1180912551817662431232.0000,2639206773159750008832.0000
31,3142002458363141.0000,41029966123520160.0000,796390143187674202112.0000,146697648654754112.0000,580946448790986624.0000,8904052444486623559680.0000,13799008858789621760.0000,19132425713875533824.0000,1395237481387916263424.0000
41,687279438914211.7500,6578764650736886.0000,183466101011777519616.0000,3485609877773908.0000,39901334893212640.0000,1276411889884302671872.0000,978451913986762368.0000,86562532944458592.0000,233557258997329199104.0000
51,51514379213933.6797,242235658411079.6562,177411496828295479296.0000,4202121925165.0225,292798539895172.5000,102250700758045130752.0000,4798048282990214.0000,4470916945465339.5000,223527695462350651392.0000
61,1189427407110.9705,5039691453568.4746,6520464637759348736.0000,4202121925165.0225,11935275332565.8672,22909909692576440320.0000,4798048282990214.0000,4470916945465339.5000,11349152810430513152.0000
71,702602256115.2792,5039691453568.4746,328452173657837376.0000,4202121925165.0225,4823903715996.3486,1839061478040387584.0000,2756825512043967.0000,906388963134552.7500,11349152810430513152.0000
81,245322008533.3677,4830311660377.4258,111950841070815632.0000,3059870649071.4336,685133895420.5323,573414238267555904.0000,1499689597576472.5000,224778494010227.6562,3617043551217475072.0000
91,28561161048.2166,649939961959.8979,18697477408813144.0000,929351867081.5857,685133895420.5323,239232127980744256.0000,232996708970783.7188,94845003423072.0938,3617043551217475072.0000
100,770254786.1464,78956843454.1162,3347817530363639.5000,609421676361.8518,227897923301.7796,107192601999181520.0000,23244346974167.8984,569960304168.9336,1035776462818503552.0000
