geracao,F=0.3_CR=0.3,F=0.3_CR=0.5,F=0.3_CR=0.9,F=0.5_CR=0.3,F=0.5_CR=0.5,F=0.5_CR=0.9,F=0.9_CR=0.3,F=0.9_CR=0.5,F=0.9_CR=0.9
1,68357718411.7303,123426207560.3739,215405180167.6558,193433534373.4463,168813067557.4594,70652037619.6274,259282761567.6559,313636149261.5115,142862952569.4726
11,4994769782.8971,7944420254.0990,27141076363.1469,4405504551.7892,12682461134.0448,70652037619.6274,35122782114.9706,21327257312.2077,105956359509.9323
21,2999881800.2591,3868932789.7357,27141076363.1469,990468246.0910,6371698633.6711,55969451168.2485,3477733888.0988,7066653599.7438,36278369109.3936
31,193755997.9257,154592515.6002,20062949258.1286,267088672.0166,425884332.9733,26931983641.8970,2082198313.8180,1968841451.6941,6058246990.1221
41,30095524.9080,61862121.0269,9309488253.3167,69502085.5208,37695667.8320,8790615485.8901,394355286.4251,633735578.8744,6058246990.1221
51,2044447.6653,2338510.8057,7792401062.3365,8167979.9428,9588941.0948,7914078683.9606,65936528.8947,95074495.1195,2055377936.1621
61,67597.7868,210465.9725,2844477828.0490,633090.4871,1591939.4632,7602758462.0947,27931473.0087,21779924.5088,1961634269.8303
71,29033.9758,157817.6879,1630142806.7046,447999.1179,80339.0614,1088153919.4791,5546050.6548,9177848.4987,948319135.4010
81,1793.6589,2952.7072,276630592.2577,92302.2546,45318.0061,751416603.7924,3053668.8075,443504.9126,353832812.3003
91,192.6661,1911.6042,176495212.0622,8411.8959,12380.7972,421046307.7575,333574.0904,443504.9126,353832812.3003
100,11.8743,673.4314,80830697.3958,534.5786,1813.1884,348085323.8096,162597.8553,31237.6112,170987891.8275
